UUID;AB_gruppe;adresse;Name;Strasse;Hsnr;Plz;Ort;Info AB
19a01f46-b006-46e5-915e-556d08bdc4f1;Gruppe 2, gem. §4 Abs 4 Punkt 2 RV;Abfallwirtschaftsbetrieb des Landkreises Augsburg, Feyerabendstr. 2, 86830 Schwabmünchen;;;;;;
19a01f46-b006-46e5-915e-556d08bdc4f1;Gruppe 2, gem. §4 Abs 4 Punkt 2 RV;Abfallwirtschaftsbetrieb des Landkreises Augsburg, Feyerabendstr. 2, 86830 Schwabmünchen;Abfallwirtschaftsbetrieb des Landkreises Augsburg;Feyerabendstr.;2;86830;Schwabmünchen;<h3>Abrufberechtigter: </h3><p>Abfallwirtschaftsbetrieb des Landkreises Augsburg<br>Feyerabendstr. 2<br>86830 Schwabmünchen
c16250d5-be32-471a-a205-f2561bf7837f;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abfallzweckverband Stadt und Landkreis Hof, Kirchplatz 10, 95028 Hof;Abfallzweckverband Stadt und Landkreis Hof;Kirchplatz;10;95028;Hof;<h3>Abrufberechtigter: </h3><p>Abfallzweckverband Stadt und Landkreis Hof<br>Kirchplatz 10<br>95028 Hof
36d572dc-4c00-491f-9a8b-de98de728b39;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserentsorgung Ansbach AöR, Rügländer Str. 1a, 91522 Ansbach;Abwasserentsorgung Ansbach AöR;Rügländer Str.;1a;91522;Ansbach;<h3>Abrufberechtigter: </h3><p>Abwasserentsorgung Ansbach AöR<br>Rügländer Str. 1a<br>91522 Ansbach
f8820986-a3a3-4335-9c6e-84e55fc102ee;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserverband Kempten Allgäu, Griesösch 1, 87493 Lauben;Abwasserverband Kempten Allgäu;Griesösch;1;87493;Lauben;<h3>Abrufberechtigter: </h3><p>Abwasserverband Kempten Allgäu<br>Griesösch 1<br>87493 Lauben
20e1d8f1-a1dc-43f3-8fab-3cbd47f53be2;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserverband Obere Iller, Hans-Böckler-Str. 80b, 87527 Sonthofen;Abwasserverband Obere Iller;Hans-Böckler-Str.;80b;87527;Sonthofen;<h3>Abrufberechtigter: </h3><p>Abwasserverband Obere Iller<br>Hans-Böckler-Str. 80b<br>87527 Sonthofen
cecd3e0e-cbf7-4d7c-adf5-9ecb90e6dcbc;Gruppe 5, gem. §4a RV Los 2;Abwasserverband Saale, Uferstraße 5, 95028 Hof;Abwasserverband Saale;Uferstraße;5;95028;Hof;<h3>Abrufberechtigter: </h3><p>Abwasserverband Saale<br>Uferstraße 5<br>95028 Hof
4dfc3f51-6bab-4c7d-99f4-1f1ceaa40540;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserverband Saale-Lauer, Am Palmsberg 1, 97618 Hohenroth;Abwasserverband Saale-Lauer;Am Palmsberg;1;97618;Hohenroth;<h3>Abrufberechtigter: </h3><p>Abwasserverband Saale-Lauer<br>Am Palmsberg 1<br>97618 Hohenroth
d22ca0db-24a1-42a8-8f07-315d0f6b746e;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserverband Selbitztal;Abwasserverband Selbitztal;Mittelklingensporn;4;95119;Naila;<h3>Abrufberechtigter: </h3><p>Abwasserverband Selbitztal<br>Mittelklingensporn 4<br>95119 Naila
a4298241-1fae-4162-9ceb-941a21e06f92;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserzweckverband Chiemsee, Stiedering 1, 83253 Rimsting;Abwasserzweckverband Chiemsee;Stiedering;1;83253;Rimsting;<h3>Abrufberechtigter: </h3><p>Abwasserzweckverband Chiemsee<br>Stiedering 1<br>83253 Rimsting
