Kunden-Nr (AB) rel;Rechungskonto_2017;Rechnungskonto_2024;Kundenreferenz_bei_VF;Name des Rechnungsempfängers;zusätzlicher Text;Rechtsform;Straße;Hausnr.;PLZ;Ort;InfoRKTO;Freigabe(J/N) oder Datum
1938856882;1039756262;1055919191;;Landesamt für Finanzen;Staatsoberkasse Bayern BayTKA;;Podewilsstr.;5;84028;Landshut;;
1940608311;1040989791;1056309402;;Advantic;;GMBH;Vierhörn;2;23556;Lübeck;<h3>Rechnungsanschrift: </h3><p>Advantic <br>Vierhörn 2<br>23556 Lübeck<p>Kundenreferenz bei Vodafone: ;
1938817311;1039727341;1056309110;Amtsgericht Dachau;Landesamt für Finanzen;Staatsoberkasse Bayern BayTKA;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern BayTKA<br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: Amtsgericht Dachau;
1942374411;1042229591;1056128741;;Landesamt für Finanzen;Staatsoberkasse Bayern BayTKA;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern BayTKA<br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: ;
1938857167;1039756497;1056309544;;Landesamt für Finanzen Staatsoberkasse Bayern BayTKA;;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern BayTKA <br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: ;
1956699561;1053382991;1056308964;;Landesamt für Finanzen;Staatsoberkasse Bayern Ba-yTKA;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern Ba-yTKA<br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: ;
1943712512;1043282892;1056070146;;Landesamt für Finanzen;Staatsoberkasse Bayern BayTKA;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern BayTKA<br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: ;
1939608068;1040293494;1056308767;;AKDB Bayreuth;;;Chr.-Ritter-von-Langh-Str.;12;95448;Bayreuth;<h3>Rechnungsanschrift: </h3><p>AKDB Bayreuth <br>Chr.-Ritter-von-Langh-Str. 12<br>95448 Bayreuth<p>Kundenreferenz bei Vodafone: ;
1939608269;1040293545;1056308905;;AKDB Hauptverwaltung München;;;Hansastr.;12-16;80686;München;<h3>Rechnungsanschrift: </h3><p>AKDB Hauptverwaltung München <br>Hansastr. 12-16<br>80686 München<p>Kundenreferenz bei Vodafone: ;
1938856974;1039756154;1056014042;;Landesamt für Finanzen;Staatsoberkasse Bayern BayTKA;;Podewilsstr.;5;84028;Landshut;<h3>Rechnungsanschrift: </h3><p>Landesamt für Finanzen Staatsoberkasse Bayern BayTKA<br>Podewilsstr. 5<br>84028 Landshut<p>Kundenreferenz bei Vodafone: ;
